Date,Sales
2024-01-01,184.88
2024-01-02,184.03
2024-01-03,222.52
2024-01-04,221.7
2024-01-05,185.02
2024-01-06,189.99
2024-01-07,219.65
2024-01-08,208.81
2024-01-09,228.69
2024-01-10,218.62
2024-01-11,235.3
2024-01-12,235.7
2024-01-13,211.31
2024-01-14,227.76
2024-01-15,206.74
2024-01-16,194.75
2024-01-17,212.97
2024-01-18,177.26
2024-01-19,206.73
2024-01-20,178.46
2024-01-21,176.92
2024-01-22,161.17
2024-01-23,204.91
2024-01-24,186.73
2024-01-25,174.16
2024-01-26,182.46
2024-01-27,190.64
2024-01-28,196.15
2024-01-29,196.46
2024-01-30,216.88
2024-01-31,254.14
2024-02-01,210.16
2024-02-02,219.25
2024-02-03,210.72
2024-02-04,242.51
2024-02-05,249.45
2024-02-06,247.33
2024-02-07,241.8
2024-02-08,233.77
2024-02-09,262.02
2024-02-10,252.86
2024-02-11,251.12
2024-02-12,222.85
2024-02-13,247.45
2024-02-14,244.59
2024-02-15,231.58
2024-02-16,241.3
2024-02-17,216.14
2024-02-18,222.15
2024-02-19,202.2
2024-02-20,216.3
2024-02-21,222.64
2024-02-22,177.91
2024-02-23,200.03
2024-02-24,188.6
2024-02-25,191.26
2024-02-26,194.14
2024-02-27,240.53
2024-02-28,211.08
2024-02-29,236.21
2024-03-01,204.16
2024-03-02,222.21
2024-03-03,239.86
2024-03-04,246.66
2024-03-05,268.2
2024-03-06,277.76
2024-03-07,253.64
2024-03-08,259.06
2024-03-09,272.18
2024-03-10,259.41
2024-03-11,235.48
2024-03-12,250.04
2024-03-13,254.08
2024-03-14,263.23
2024-03-15,257.41
2024-03-16,251.37
2024-03-17,231.58
2024-03-18,229.57
2024-03-19,245.83
2024-03-20,229.47
2024-03-21,227.73
2024-03-22,210.76
2024-03-23,203.33
2024-03-24,205.11
2024-03-25,185.92
2024-03-26,227.85
2024-03-27,218.09
2024-03-28,219.19
2024-03-29,235.12
2024-03-30,229.67
2024-03-31,242.05
2024-04-01,229.64
2024-04-02,244.38
2024-04-03,259.07
2024-04-04,228.96
2024-04-05,241.93
2024-04-06,238.14
2024-04-07,249.82
2024-04-08,268.15
2024-04-09,262.08
2024-04-10,273.54
2024-04-11,289.01
2024-04-12,264.16
2024-04-13,268.19
2024-04-14,240.35
2024-04-15,240.85
2024-04-16,237.35
2024-04-17,244.75
2024-04-18,248.08
2024-04-19,205.87
2024-04-20,225.72
2024-04-21,221.77
2024-04-22,199.16
2024-04-23,197.26
2024-04-24,223.8
2024-04-25,204.39
2024-04-26,222.07
2024-04-27,211.17
2024-04-28,243.15
2024-04-29,211.84
2024-04-30,218.12
2024-05-01,246.05
2024-05-02,242.4
2024-05-03,270.44
2024-05-04,257.5
2024-05-05,258.01
2024-05-06,273.79
2024-05-07,248.54
2024-05-08,262.89
2024-05-09,249.52
2024-05-10,262.27
2024-05-11,235.32
2024-05-12,268.42
2024-05-13,245.16
2024-05-14,234.72
2024-05-15,240.2
2024-05-16,245.9
2024-05-17,252.54
2024-05-18,255.14
2024-05-19,267.26
2024-05-20,215.72
2024-05-21,202.34
2024-05-22,183.36
2024-05-23,208.81
2024-05-24,193.78
2024-05-25,189.45
2024-05-26,190.0
2024-05-27,192.97
2024-05-28,228.78
2024-05-29,221.08
2024-05-30,210.43
2024-05-31,205.5
2024-06-01,190.6
2024-06-02,218.28
2024-06-03,224.33
2024-06-04,272.24
2024-06-05,253.61
2024-06-06,260.83
2024-06-07,243.86
2024-06-08,224.43
2024-06-09,231.55
2024-06-10,228.4
2024-06-11,285.9
2024-06-12,238.84
2024-06-13,251.34
2024-06-14,222.71
2024-06-15,236.53
2024-06-16,225.05
2024-06-17,204.05
2024-06-18,213.64
